timestamp,facility_id,facility_name,energy_kwh_per_wafer,cleanroom_energy_kwh,equipment_utilization,peak_energy_pct,hazardous_waste_kg,chemical_recycling_rate,solvent_recovery_rate,waste_compliance_pct,air_filtration_efficiency,particle_count,temp_humidity_energy_kwh,cleanroom_class,upw_consumption_m3,water_recycling_rate,wastewater_treatment_efficiency,water_per_wafer_l,scope1_tco2e,scope2_tco2e,scope3_tco2e,renewable_pct
2025-09-01,F1,Phoenix Fab,360.0,62000.0,78.0,32.0,5200.0,48.0,62.0,94.0,97.8,82.0,29000.0,50.0,2100.0,52.0,86.0,420.0,1800.0,3100.0,14000.0,18.0
2025-09-02,F1,Phoenix Fab,359.67,61933.33,78.07,31.93,5195.0,48.07,62.07,94.03,97.81,81.87,28966.67,49.83,2098.33,52.07,86.07,419.67,1798.33,3096.67,13993.33,18.03
2025-09-03,F1,Phoenix Fab,359.33,61866.67,78.13,31.87,5190.0,48.13,62.13,94.07,97.81,81.73,28933.33,49.67,2096.67,52.13,86.13,419.33,1796.67,3093.33,13986.67,18.07
2025-09-04,F1,Phoenix Fab,359.0,61800.0,78.2,31.8,5185.0,48.2,62.2,94.1,97.82,81.6,28900.0,49.5,2095.0,52.2,86.2,419.0,1795.0,3090.0,13980.0,18.1
2025-09-05,F1,Phoenix Fab,358.67,61733.33,78.27,31.73,5180.0,48.27,62.27,94.13,97.83,81.47,28866.67,49.33,2093.33,52.27,86.27,418.67,1793.33,3086.67,13973.33,18.13
2025-09-06,F1,Phoenix Fab,358.33,61666.67,78.33,31.67,5175.0,48.33,62.33,94.17,97.83,81.33,28833.33,49.17,2091.67,52.33,86.33,418.33,1791.67,3083.33,13966.67,18.17
2025-09-07,F1,Phoenix Fab,358.0,61600.0,78.4,31.6,5170.0,48.4,62.4,94.2,97.84,81.2,28800.0,49.0,2090.0,52.4,86.4,418.0,1790.0,3080.0,13960.0,18.2
2025-09-08,F1,Phoenix Fab,357.67,61533.33,78.47,31.53,5165.0,48.47,62.47,94.23,97.85,81.07,28766.67,48.83,2088.33,52.47,86.47,417.67,1788.33,3076.67,13953.33,18.23
2025-09-09,F1,Phoenix Fab,357.33,61466.67,78.53,31.47,5160.0,48.53,62.53,94.27,97.85,80.93,28733.33,48.67,2086.67,52.53,86.53,417.33,1786.67,3073.33,13946.67,18.27
2025-09-10,F1,Phoenix Fab,357.0,61400.0,78.6,31.4,5155.0,48.6,62.6,94.3,97.86,80.8,28700.0,48.5,2085.0,52.6,86.6,417.0,1785.0,3070.0,13940.0,18.3
