timestamp,facility_id,facility_name,energy_kwh_per_wafer,cleanroom_energy_kwh,equipment_utilization,peak_energy_pct,hazardous_waste_kg,chemical_recycling_rate,solvent_recovery_rate,waste_compliance_pct,air_filtration_efficiency,particle_count,temp_humidity_energy_kwh,cleanroom_class,upw_consumption_m3,water_recycling_rate,wastewater_treatment_efficiency,water_per_wafer_l,scope1_tco2e,scope2_tco2e,scope3_tco2e,renewable_pct
2025-09-01,F1,Phoenix Fab,360,62000,78,32,5200,48,62,94,97.8,82,29000,50,2100,52,86,420,1800,3100,14000,18
2025-10-01,F1,Phoenix Fab,350,60000,80,30,5050,50,64,95,98.0,78,28000,45,2050,54,88,410,1750,3000,13800,19
2025-11-01,F1,Phoenix Fab,340,58500,82,28,4900,53,66,95,98.2,72,27000,40,1980,58,90,395,1680,2900,13600,21
2025-12-01,F1,Phoenix Fab,330,56500,83,26,4700,57,69,96,98.4,66,26000,32,1920,61,92,380,1600,2750,13250,23
2026-01-01,F1,Phoenix Fab,320,54500,85,24,4500,60,71,97,98.6,60,25000,28,1860,64,93,365,1550,2600,13000,25
2025-09-01,F2,Austin Fab,375,68000,74,35,5600,44,58,92,97.2,90,31000,70,2300,48,82,450,2000,3400,15500,14
2025-10-01,F2,Austin Fab,365,66000,75,34,5400,46,60,93,97.4,86,30000,64,2250,50,84,440,1950,3300,15200,15
2025-11-01,F2,Austin Fab,355,64000,77,32,5250,48,62,94,97.6,80,29200,58,2180,53,86,430,1880,3180,14900,16
2025-12-01,F2,Austin Fab,345,62000,79,30,5100,51,65,95,97.8,74,28500,52,2100,55,88,420,1800,3050,14600,18
2026-01-01,F2,Austin Fab,335,60000,80,28,4950,54,67,95,98.0,70,27500,46,2050,58,90,405,1720,2920,14250,20
2025-09-01,F3,Albany Fab,390,71000,72,38,6000,40,55,91,96.8,100,32500,90,2450,44,80,470,2200,3650,16500,10
2025-10-01,F3,Albany Fab,382,69500,73,37,5850,42,57,92,97.0,96,31800,82,2380,46,82,460,2150,3550,16200,11
2025-11-01,F3,Albany Fab,372,67500,74,35,5700,44,59,93,97.2,90,31000,74,2320,49,84,450,2080,3420,15850,12
2025-12-01,F3,Albany Fab,362,65500,76,34,5500,47,62,94,97.4,84,30200,66,2240,52,86,440,2000,3300,15500,14
2026-01-01,F3,Albany Fab,352,63500,78,32,5300,50,65,94,97.6,78,29400,58,2180,55,88,430,1920,3150,15100,16
